model,difficulty,n,mean_single,mean_mdt_rag,diff,p,cliffs_delta,effect,p_fdr,sig_fdr
gpt-4o-mini,Easy,25,3.85,4.015,0.1649999999999996,0.28800066038576966,0.1744,small,0.49371541780417655,False
gpt-4o-mini,Medium,41,3.8689024390243905,3.9115853658536586,0.04268292682926811,0.4212725468977331,0.05889351576442594,negligible,0.575170798891444,False
gpt-4o-mini,Hard,34,4.007352941176471,3.9816176470588234,-0.025735294117647634,0.6130586984394819,0.006920415224913495,negligible,0.7056310567405456,False
claude-sonnet,Easy,25,4.515,4.745,0.23000000000000043,0.023327975276886313,0.3568,medium,0.2799357033226358,False
claude-sonnet,Medium,41,4.527439024390244,4.600609756097561,0.07317073170731714,0.16408394647345625,0.17727543129089826,small,0.4678264590666532,False
claude-sonnet,Hard,34,4.6286764705882355,4.488970588235294,-0.13970588235294112,0.2339132295333266,-0.04498269896193772,negligible,0.4678264590666532,False
deepseek-r1,Easy,25,4.705,4.465,-0.2400000000000002,0.19723779668065278,-0.16,small,0.4678264590666532,False
deepseek-r1,Medium,41,4.609756097560975,4.551829268292683,-0.0579268292682924,0.43137809916858294,-0.07317073170731707,negligible,0.575170798891444,False
deepseek-r1,Hard,34,4.4375,4.5625,0.125,0.1304967382416258,0.08044982698961937,negligible,0.4678264590666532,False
llama-3.3-70b,Easy,25,3.745,3.935,0.18999999999999995,0.6468284686788335,0.1456,negligible,0.7056310567405456,False
llama-3.3-70b,Medium,41,3.807926829268293,3.7408536585365852,-0.0670731707317076,0.2052079161503818,-0.0809042236763831,negligible,0.4678264590666532,False
llama-3.3-70b,Hard,34,3.8051470588235294,3.8051470588235294,0.0,0.7944422170085905,-0.01643598615916955,negligible,0.7944422170085905,False
